NEUTRAL_HASHTAGS,LABOR_HASHTAGS,LIBERAL_HASHTAGS
#Morrison,#ScottyFromCoverUps,#NewsPoll
#ScottyMustGo,#March4Justice,#ScoMo
#Labor,#ScottyDoesNothing,#BlamingLabor
#liberal,#EnoughIsEnough,#climatechange
#AlboForPM,#AlboForPM,#Morrison
#auspol,#ShameonLiberals,#BlamingLabor
#climatechange,#NotMyPM,#SelfishAlbo
#ScottyDoesNothing,#scottyfromarketing,Morrison Government
#ScottyFromPhotoOps,#Albo2022,liberal australia
#ScottyFromMarketing,#Labor,liberal aussie
#AFPraids,#ScottyFromPhotoOps,liberal jobkeeper
#COVID19,#AFPraids,liberal jobseeker
#BlamingLabor,labor australia,liberal vic
#SelfishAlbo,labor mp,liberal qld
#LNPfail,labor aussie,liberal tax
#policyfail,labor budget,liberal women
#ShameonLiberals,labor jobkeeper,liberal budget
#AusVotes2019,labor jobseeker,liberal economy
#scottyfromarketing,labor vic,liberal wa
#EnoughIsEnough,labor qld,liberal nsw
#ScottyFromCoverUps,labor tax,liberal climate
#SelfishAlbo,labor women,liberal trade
#ausvotes,labor economy,liberal vote
#NewsPoll,labor government,liberal money
#ScoMo,labor wa,liberal party
#NotMyPM,labor nsw,liberal pm
#auspoll,labor climate,
#onyourside,labor trade,
#Albo2022,labor vote,
#March4Justice,labor money,
#LeadershipFail,labor party,
,pm labor,
